"","type","model","value"
"367","Real","model1",0.560371517027864
"368","Real","model1",0.59375
"369","Real","model1",0.564814814814815
"370","Real","model1",0.552469135802469
"371","Real","model1",0.57190635451505
"372","Real","model1",0.668730650154799
"373","Real","model1",0.473684210526316
"374","Real","model1",0.488888888888889
"375","Real","model1",0.704761904761905
"376","Real","model1",0.558730158730159
"377","Real","model1",0.42283950617284
"378","Real","model1",0.396363636363636
"379","Real","model1",0.662337662337662
"380","Real","model1",0.665454545454545
"381","Real","model1",0.482539682539683
"382","Real","model1",0.53125
"383","Real","model1",0.49375
"384","Real","model1",0.671875
"385","Real","model1",0.68421052631579
"386","Real","model1",0.524305555555555
"387","Real","model1",0.457792207792208
"388","Real","model1",0.5875
"389","Real","model1",0.602006688963211
"390","Real","model1",0.558641975308642
"391","Real","model1",0.478395061728395
"392","Real","model1",0.523809523809524
"393","Real","model1",0.60952380952381
"394","Real","model1",0.592592592592593
"395","Real","model1",0.475308641975309
"396","Real","model1",0.596153846153846
"397","Real","model1",0.622291021671827
"398","Real","model1",0.651234567901234
"399","Real","model1",0.575851393188854
"400","Real","model1",0.537037037037037
"401","Real","model1",0.484567901234568
"402","Real","model1",0.516233766233766
"403","Real","model1",0.574603174603175
"404","Real","model1",0.692307692307692
"405","Real","model1",0.560371517027864
"406","Real","model1",0.521875
"407","Real","model1",0.527777777777778
"408","Real","model1",0.522727272727273
"409","Real","model1",0.504761904761905
"410","Real","model1",0.646103896103896
"411","Real","model1",0.653125
"412","Real","model1",0.448916408668731
"413","Real","model1",0.481605351170569
"414","Real","model1",0.588235294117647
"415","Real","model1",0.533333333333333
"416","Real","model1",0.570987654320988
"417","Real","model1",0.501547987616099
"418","Real","model1",0.441558441558442
"419","Real","model1",0.574603174603174
"420","Real","model1",0.662538699690403
"421","Real","model1",0.620370370370371
"422","Real","model1",0.461300309597523
"423","Real","model1",0.475
"424","Real","model1",0.5
"425","Real","model1",0.601851851851852
"426","Real","model1",0.512987012987013
"427","Real","model1",0.523219814241486
"428","Real","model1",0.46749226006192
"429","Real","model1",0.529411764705882
"430","Real","model1",0.490625
"431","Real","model1",0.611111111111111
"432","Real","model1",0.565625
"433","Real","model1",0.563467492260062
"434","Real","model1",0.495356037151703
"435","Real","model1",0.557275541795666
"436","Real","model1",0.640625
"437","Real","model1",0.415625
"438","Real","model1",0.554179566563468
"439","Real","model1",0.594427244582043
"440","Real","model1",0.445820433436532
"441","Real","model1",0.473015873015873
"442","Real","model1",0.665625
"443","Real","model1",0.461300309597523
"444","Real","model1",0.545454545454545
"445","Real","model1",0.469135802469136
"446","Real","model1",0.614197530864198
"447","Real","model1",0.642857142857143
"448","Real","model1",0.675
"449","Real","model1",0.569659442724458
"450","Real","model1",0.595317725752508
"451","Real","model1",0.518394648829431
"452","Real","model1",0.517460317460317
"453","Real","model1",0.56875
"454","Real","model1",0.470779220779221
"455","Real","model1",0.555555555555556
"456","Real","model1",0.549382716049383
"457","Real","model1",0.575851393188854
"458","Real","model1",0.478125
"459","Real","model1",0.603636363636364
"460","Real","model1",0.594427244582043
"461","Real","model1",0.582043343653251
"462","Real","model1",0.582043343653251
"463","Real","model1",0.568561872909699
"464","Real","model1",0.501672240802676
"465","Real","model1",0.589506172839506
"466","Real","model1",0.473684210526316
"467","Real","model1",0.504643962848297
"468","Real","model1",0.582043343653251
"469","Real","model1",0.509375
"470","Real","model1",0.553125
"471","Real","model1",0.60064935064935
"472","Real","model1",0.447619047619048
"473","Real","model1",0.495356037151703
"474","Real","model1",0.597523219814241
"475","Real","model1",0.561904761904762
"476","Real","model1",0.606811145510836
"477","Real","model1",0.524305555555555
"478","Real","model1",0.641269841269841
"479","Real","model1",0.635451505016722
"480","Real","model1",0.474916387959866
"481","Real","model1",0.526315789473684
"482","Real","model1",0.541795665634675
"483","Real","model1",0.48125
"484","Real","model1",0.555183946488294
"485","Real","model1",0.691358024691358
"486","Real","model1",0.365625
"487","Real","model1",0.585454545454545
"488","Real","model1",0.459876543209877
"489","Real","model1",0.6125
"490","Real","model1",0.743506493506493
"491","Real","model1",0.659090909090909
"492","Real","model1",0.492063492063492
"493","Real","model1",0.59047619047619
"494","Real","model1",0.551083591331269
"495","Real","model1",0.475308641975309
"496","Real","model1",0.705454545454545
"497","Real","model1",0.578125
"498","Real","model1",0.5
"499","Real","model1",0.479876160990712
"500","Real","model1",0.536507936507936
"501","Real","model1",0.555194805194805
"502","Real","model1",0.628482972136223
"503","Real","model1",0.605351170568562
"504","Real","model1",0.720634920634921
"505","Real","model1",0.582043343653251
"506","Real","model1",0.648148148148148
"507","Real","model1",0.54180602006689
"508","Real","model1",0.462962962962963
"509","Real","model1",0.511705685618729
"510","Real","model1",0.444444444444444
"511","Real","model1",0.457142857142857
"512","Real","model1",0.60061919504644
"513","Real","model1",0.587662337662338
"514","Real","model1",0.492063492063492
"515","Real","model1",0.521739130434783
"516","Real","model1",0.481605351170569
"517","Real","model1",0.6
"518","Real","model1",0.619195046439628
"519","Real","model1",0.519480519480519
"520","Real","model1",0.632107023411371
"521","Real","model1",0.572755417956656
"522","Real","model1",0.59375
"523","Real","model1",0.595679012345679
"524","Real","model1",0.6
"525","Real","model1",0.623376623376623
"526","Real","model1",0.613003095975232
"527","Real","model1",0.537037037037037
"528","Real","model1",0.526315789473684
"529","Real","model1",0.62012987012987
"530","Real","model1",0.628125
"531","Real","model1",0.580952380952381
"532","Real","model1",0.492063492063492
"533","Real","model1",0.578595317725753
"534","Real","model1",0.589506172839506
"535","Real","model1",0.439628482972136
"536","Real","model1",0.725694444444444
"537","Real","model1",0.651234567901235
"538","Real","model1",0.555183946488294
"539","Real","model1",0.603715170278638
"540","Real","model1",0.42283950617284
"541","Real","model1",0.535603715170279
"542","Real","model1",0.584375
"543","Real","model1",0.455108359133127
"544","Real","model1",0.469135802469136
"545","Real","model1",0.498452012383901
"546","Real","model1",0.584375
"547","Real","model1",0.478395061728395
"548","Real","model1",0.625
"549","Real","model1",0.57190635451505
"550","Real","model1",0.578947368421053
"551","Real","model1",0.535603715170278
"552","Real","model1",0.519480519480519
"553","Real","model1",0.61609907120743
"554","Real","model1",0.647619047619048
"555","Real","model1",0.540123456790124
"556","Real","model1",0.591331269349845
"557","Real","model1",0.513931888544892
"558","Real","model1",0.509375
"559","Real","model1",0.640625
"560","Real","model1",0.523219814241486
"561","Real","model1",0.538961038961039
"562","Real","model1",0.571428571428571
"563","Real","model1",0.55625
"564","Real","model1",0.704545454545455
"565","Real","model1",0.609375
"566","Real","model1",0.574074074074074
"567","Real","model1",0.470588235294118
